"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848970473864052798","Wed Oct 23 06:11:27 +0000 2024","0","Makan siang gratis tapi yang gratis cuma beef teriyaki-nya karena pakai sisaan trimming daging sate xixixixixi https://t.co/Wu1Aanar9w","1848970473864052798","https://pbs.twimg.com/media/Gajc2KmbEAEyK-3.jpg","","in","Indonesia","0","0","0","https://x.com/mbakhayu/status/1848970473864052798","1687388177798221825","mbakhayu"
"1848970469388718152","Wed Oct 23 06:11:26 +0000 2024","0","dut makan siang gratis mana dut laper","1848970469388718152","","","in","","0","0","0","https://x.com/rcmmmy/status/1848970469388718152","1156917616700616704","rcmmmy"
"1848655568397078566","Wed Oct 23 06:08:30 +0000 2024","0","@KemensetnegRI yang saya pahami di universitas kehidupan Tidak ada makan siang gratis ","1848969729551307179","","KemensetnegRI","in","","0","0","0","https://x.com/landjarlandjar/status/1848969729551307179","1244853536","landjarlandjar"
"1848954000550301957","Wed Oct 23 06:07:57 +0000 2024","0","@detikcom dari 3.005 T sebanyak 1000T akan dikapai untuk operasional kementrian dan lembaga negara sisa 2000T sebagian besar dipakai program makan siang gratis jadi yg diterima rakyat tdk ada bedanya dgn tahun² sebelumnya tapi yg diberikan rakyat kepada negara berupa pajak meningkat","1848969590581432509","","detikcom","in","","0","0","0","https://x.com/bpsmgt/status/1848969590581432509","1121436493203922945","bpsmgt"
"1848967522508542259","Wed Oct 23 06:03:28 +0000 2024","0","@unmagnetism Makan siang gratis dulu un https://t.co/5aq8NCztAP","1848968462460457124","https://pbs.twimg.com/media/GajbBJdaoAAMHKY.jpg","unmagnetism","in","","0","0","0","https://x.com/Oxygenn88/status/1848968462460457124","1785670214459555840","Oxygenn88"
"1848967994388660345","Wed Oct 23 06:01:36 +0000 2024","1","Menteri Urusan Makan Siang Gratis https://t.co/7PAlSjAoRC","1848967994388660345","https://pbs.twimg.com/media/Gajalwab0AA11X8.jpg","","in","","0","0","0","https://x.com/odydc/status/1848967994388660345","65040959","odydc"
"1848640349876662451","Wed Oct 23 05:57:43 +0000 2024","0","@semogayaa makan siang gratis prabowo tapi ","1848967017103339541","","semogayaa","in","","0","0","0","https://x.com/ehhzra/status/1848967017103339541","935041863957880832","ehhzra"
"1848966962333757545","Wed Oct 23 05:57:30 +0000 2024","1","euy saran menu makan siang yg bisa di gojek apa grab daerah bubat dongg. lagi kurang enak badan bingung mau makan apa","1848966962333757545","","","in","Bandung, Jawa Barat","0","6","0","https://x.com/BaseBDG/status/1848966962333757545","1248335621988311041","BaseBDG"
"1848615154386407590","Wed Oct 23 05:55:35 +0000 2024","0","@oscartotango Besok kalo ke Jaktim jangan ke SMANU MHT yg dikasih makan siang gratis ","1848966477900353964","","oscartotango","in","","0","0","0","https://x.com/Bill01251/status/1848966477900353964","1153650914323914754","Bill01251"
"1848965646509572105","Wed Oct 23 05:52:16 +0000 2024","0","POV belum dapet makan siang gratis https://t.co/t2FUx8sVsr","1848965646509572105","https://pbs.twimg.com/ext_tw_video_thumb/1848964528723374080/pu/img/2fArdiWBgzCnCJLB.jpg","","in","Belong Swamp","0","0","0","https://x.com/ris_staydmn/status/1848965646509572105","770280747592585218","ris_staydmn"
